file,column,rows,missing,missing_pct,duplicate_header,rows_with_wrong_width
analysis/affirmed_attributes_eval4paper.csv,attribute,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,freq,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,TP,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,FN,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,FP,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,precision,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,recall,70,0,0.0,False,0
analysis/affirmed_attributes_eval4paper.csv,f1-score,70,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,bbox_name,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,freq,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,TP,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,FN,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,FP,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,precision,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,recall,38,0,0.0,False,0
analysis/affirmed_bboxes_across_attributes_report_level.csv,f1-score,38,0,0.0,False,0
analysis/object_to_attribute_relation_stats.csv,bbox,683,0,0.0,False,0
analysis/object_to_attribute_relation_stats.csv,attribute,683,0,0.0,False,0
analysis/object_to_attribute_relation_stats.csv,freq_nlp,683,0,0.0,False,0
analysis/object_to_attribute_relation_stats.csv,freq_has_bbox,683,0,0.0,False,0
analysis/object_to_object_comparison_relation_stats.csv,bbox,2681,0,0.0,False,0
analysis/object_to_object_comparison_relation_stats.csv,comparison,2681,0,0.0,False,0
analysis/object_to_object_comparison_relation_stats.csv,attribute,2681,0,0.0,False,0
analysis/object_to_object_comparison_relation_stats.csv,freq_nlp,2681,0,0.0,False,0
analysis/object_to_object_comparison_relation_stats.csv,freq_have_bboxes,2681,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,image_id,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,x1,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,y1,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,x2,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,y2,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,width,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,height,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,bbox_name,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,annot_id,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_x1,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_x2,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_y1,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_y2,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_width,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_C.csv,original_height,16996,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,image_id,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,x1,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,y1,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,x2,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,y2,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,width,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,height,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,bbox_name,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,annot_id,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_x1,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_x2,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_y1,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_y2,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_width,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_1_W.csv,original_height,16995,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,image_id,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,x1,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,y1,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,x2,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,y2,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,width,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,height,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,bbox_name,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,annot_id,16934,0,0.0,False,0
gold_dataset/bbox_coordinate_annotations_2_J.csv,original_x1,16934,0,0.0,False,0
